zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Edmonton Zoo,Spizaetus coronatus,"Hawk-eagle, crowned",Shawn,Male,2022-08-12,53,false
Toronto Zoo,Semnopithecus entellus,"Langur, gray",Bethina,Female,2022-05-20,38,true
Vancouver Zoo,Canis lupus lycaon,"Wolf, timber",Corliss,Female,2023-05-23,67,false
Toronto Zoo,Caiman crocodilus,Spectacled caiman,Brenna,Female,2023-12-26,27,true
Toronto Zoo,Theropithecus gelada,"Monkey, bleeding heart",Audry,Female,2022-10-22,79,true
Vancouver Zoo,Hymenolaimus malacorhynchus,Blue duck,Heall,Male,2023-11-13,64,true
Vancouver Zoo,unavailable,Civet (unidentified),Dody,Female,2023-01-30,42,true
Vancouver Zoo,Terrapene carolina,Eastern box turtle,Gifford,Male,2022-04-12,65,false
Toronto Zoo,Pseudalopex gymnocercus,"Zorro, azara's",Jeremie,Male,2021-11-09,37,true
Vancouver Zoo,Cervus canadensis,"Wapiti, elk,",Floyd,Male,2023-03-29,30,false
Washington Zoo,Coendou prehensilis,Prehensile-tailed porcupine,Aubrey,Male,2023-08-09,29,true
Toronto Zoo,Lycosa godeffroyi,Wolf spider,Dre,Female,2022-03-29,41,false
Vancouver Zoo,Paroaria gularis,"Cardinal, red-capped",Grete,Female,2021-03-28,21,false
Vancouver Zoo,Centrocercus urophasianus,"Hen, sage",Ilene,Female,2021-09-04,20,true
Toronto Zoo,Neotis denhami,"Bustard, denham's",Herve,Male,2021-11-30,66,true
Edmonton Zoo,Mazama gouazoubira,"Brocket, brown",Verney,Male,2021-11-30,42,true
Edmonton Zoo,Varanus komodensis,Komodo dragon,Zahara,Female,2022-09-26,37,false
Toronto Zoo,Paraxerus cepapi,African bush squirrel,Tiebout,Male,2023-01-23,78,true
Toronto Zoo,Ursus americanus,Black bear,Devinne,Female,2021-04-11,26,false
Toronto Zoo,Halcyon smyrnesis,"Kingfisher, white-throated",Teodoro,Male,2022-03-29,59,true
Washington Zoo,Pseudalopex gymnocercus,"Zorro, azara's",Tuckie,Male,2021-06-08,67,false
Vancouver Zoo,Bubalus arnee,"Buffalo, wild water",Jillayne,Female,2021-11-17,48,false
Toronto Zoo,Macaca radiata,Bonnet macaque,Jared,Male,2024-02-01,75,false
Edmonton Zoo,Canis mesomelas,Black-backed jackal,Vanna,Female,2023-07-27,34,true
Vancouver Zoo,Tockus erythrorhyncus,Red-billed hornbill,Bendicty,Male,2022-02-05,28,false
Washington Zoo,Anser caerulescens,"Goose, snow",Roddy,Male,2023-06-22,50,false
Washington Zoo,Ratufa indica,"Squirrel, malabar",Petr,Male,2023-10-27,42,false
Vancouver Zoo,Connochaetus taurinus,"Gnu, brindled",Kimbra,Female,2021-08-21,28,true
Edmonton Zoo,Chauna torquata,Crested screamer,Gaven,Male,2022-08-28,77,false
Vancouver Zoo,Rhea americana,Greater rhea,Huey,Male,2022-11-16,70,false
Vancouver Zoo,Rhea americana,Common rhea,Vikki,Female,2021-07-16,43,true
Edmonton Zoo,Mirounga leonina,"Seal, southern elephant",Iris,Female,2023-07-22,66,true
Vancouver Zoo,Smithopsis crassicaudata,"Dunnart, fat-tailed",Tiffi,Female,2021-11-07,77,true
Edmonton Zoo,Himantopus himantopus,"Stilt, black-winged",Kaylyn,Female,2021-03-20,68,true
Toronto Zoo,Myrmecophaga tridactyla,Giant anteater,Ivett,Female,2023-09-08,48,false
Edmonton Zoo,Carduelis pinus,"Siskin, pine",Lilly,Female,2022-05-14,55,false
Edmonton Zoo,Axis axis,Chital,Ezri,Male,2023-06-03,38,false
Toronto Zoo,Terrapene carolina,Eastern box turtle,Erroll,Male,2022-12-12,80,true
Washington Zoo,Platalea leucordia,White spoonbill,Coop,Male,2022-02-10,40,false
Edmonton Zoo,Pavo cristatus,"Peacock, blue",Morse,Male,2023-09-16,40,false
Edmonton Zoo,Ourebia ourebi,Oribi,Edin,Female,2023-05-20,64,false
Edmonton Zoo,Merops nubicus,Carmine bee-eater,Johnnie,Male,2023-02-09,73,false
Edmonton Zoo,Varanus sp.,Ground monitor (unidentified),Joela,Female,2023-09-10,62,false
Washington Zoo,Tockus erythrorhyncus,Red-billed hornbill,Gerome,Male,2021-10-26,30,false
Washington Zoo,Tetracerus quadricornis,"Antelope, four-horned",Aurel,Female,2022-02-16,19,false
Vancouver Zoo,Rhea americana,Common rhea,Pavia,Female,2021-06-30,74,true
Toronto Zoo,Nesomimus trifasciatus,Galapagos mockingbird,Fraser,Male,2021-01-07,59,false
